### Module positions - created on 2025-05-16 23:31
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
J165          Conn_01x01 E        single_pin                    134.6200   -106.6800  134.6200   -106.6800     0.0    top       SMD
J136          Conn_01x01 F        single_pin                    127.0000   -114.3000  127.0000   -114.3000     0.0    top       SMD
J170          Conn_01x01 J        single_pin                    134.6200   -124.4600  134.6200   -124.4600     0.0    top       SMD
J168          Conn_01x01 H        single_pin                    134.6200   -119.3800  134.6200   -119.3800     0.0    top       SMD
J195          Conn_01x01 E        single_pin                    142.2400   -106.6800  142.2400   -106.6800     0.0    top       SMD
J192          Conn_01x01 B        single_pin                    142.2400   -99.0600   142.2400   -99.0600      0.0    top       SMD
J152          Conn_01x01 B        single_pin                    132.0800   -99.0600   132.0800   -99.0600      0.0    top       SMD
J162          Conn_01x01 B        single_pin                    134.6200   -99.0600   134.6200   -99.0600      0.0    top       SMD
J184          Conn_01x01 D        single_pin                    139.7000   -104.1400  139.7000   -104.1400     0.0    top       SMD
J198          Conn_01x01 H        single_pin                    142.2400   -119.3800  142.2400   -119.3800     0.0    top       SMD
J137          Conn_01x01 G        single_pin                    127.0000   -116.8400  127.0000   -116.8400     0.0    top       SMD
J182          Conn_01x01 B        single_pin                    139.7000   -99.0600   139.7000   -99.0600      0.0    top       SMD
J153          Conn_01x01 C        single_pin                    132.0800   -101.6000  132.0800   -101.6000     0.0    top       SMD
J135          Conn_01x01 E        single_pin                    127.0000   -106.6800  127.0000   -106.6800     0.0    top       SMD
J178          Conn_01x01 H        single_pin                    137.1600   -119.3800  137.1600   -119.3800     0.0    top       SMD
J183          Conn_01x01 C        single_pin                    139.7000   -101.6000  139.7000   -101.6000     0.0    top       SMD
J148          Conn_01x01 H        single_pin                    129.5400   -119.3800  129.5400   -119.3800     0.0    top       SMD
J174          Conn_01x01 D        single_pin                    137.1600   -104.1400  137.1600   -104.1400     0.0    top       SMD
J138          Conn_01x01 H        single_pin                    127.0000   -119.3800  127.0000   -119.3800     0.0    top       SMD
J172          Conn_01x01 B        single_pin                    137.1600   -99.0600   137.1600   -99.0600      0.0    top       SMD
J151          Conn_01x01 A        single_pin                    132.0800   -96.5200   132.0800   -96.5200      0.0    top       SMD
J155          Conn_01x01 E        single_pin                    132.0800   -106.6800  132.0800   -106.6800     0.0    top       SMD
J159          Conn_01x01 I        single_pin                    132.0800   -121.9200  132.0800   -121.9200     0.0    top       SMD
J190          Conn_01x01 J        single_pin                    139.7000   -124.4600  139.7000   -124.4600     0.0    top       SMD
J156          Conn_01x01 F        single_pin                    132.0800   -114.3000  132.0800   -114.3000     0.0    top       SMD
J176          Conn_01x01 F        single_pin                    137.1600   -114.3000  137.1600   -114.3000     0.0    top       SMD
J177          Conn_01x01 G        single_pin                    137.1600   -116.8400  137.1600   -116.8400     0.0    top       SMD
J139          Conn_01x01 I        single_pin                    127.0000   -121.9200  127.0000   -121.9200     0.0    top       SMD
J141          Conn_01x01 A        single_pin                    129.5400   -96.5200   129.5400   -96.5200      0.0    top       SMD
J197          Conn_01x01 G        single_pin                    142.2400   -116.8400  142.2400   -116.8400     0.0    top       SMD
J164          Conn_01x01 D        single_pin                    134.6200   -104.1400  134.6200   -104.1400     0.0    top       SMD
J188          Conn_01x01 H        single_pin                    139.7000   -119.3800  139.7000   -119.3800     0.0    top       SMD
J134          Conn_01x01 D        single_pin                    127.0000   -104.1400  127.0000   -104.1400     0.0    top       SMD
J144          Conn_01x01 D        single_pin                    129.5400   -104.1400  129.5400   -104.1400     0.0    top       SMD
J133          Conn_01x01 C        single_pin                    127.0000   -101.6000  127.0000   -101.6000     0.0    top       SMD
